T05,Proportion of seats held by women in national parliament,,,,,,,
Region/Country/Area,,Year,Series,Last Election Date,Last Election Date footnote,Value,Footnotes,Source
142,Asia,2020,"Seats held by women in national parliament, as of February (%)",,,19.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
142,Asia,2021,"Seats held by women in national parliament, as of February (%)",,,19.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
142,Asia,2022,"Seats held by women in national parliament, as of February (%)",,,20.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
142,Asia,2023,"Seats held by women in national parliament, as of February (%)",,,20.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
142,Asia,2024,"Seats held by women in national parliament, as of February (%)",,,20.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
143,Central Asia,2000,"Seats held by women in national parliament, as of February (%)",,,7.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
143,Central Asia,2005,"Seats held by women in national parliament, as of February (%)",,,11.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
143,Central Asia,2010,"Seats held by women in national parliament, as of February (%)",,,20.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
143,Central Asia,2015,"Seats held by women in national parliament, as of February (%)",,,21.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
143,Central Asia,2020,"Seats held by women in national parliament, as of February (%)",,,25.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
143,Central Asia,2021,"Seats held by women in national parliament, as of February (%)",,,25.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
143,Central Asia,2022,"Seats held by women in national parliament, as of February (%)",,,27.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
143,Central Asia,2023,"Seats held by women in national parliament, as of February (%)",,,27.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
143,Central Asia,2024,"Seats held by women in national parliament, as of February (%)",,,26.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
30,Eastern Asia,2000,"Seats held by women in national parliament, as of February (%)",,,18.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
30,Eastern Asia,2005,"Seats held by women in national parliament, as of February (%)",,,18.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
30,Eastern Asia,2010,"Seats held by women in national parliament, as of February (%)",,,18.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
30,Eastern Asia,2015,"Seats held by women in national parliament, as of February (%)",,,20.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
30,Eastern Asia,2020,"Seats held by women in national parliament, as of February (%)",,,21.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
30,Eastern Asia,2021,"Seats held by women in national parliament, as of February (%)",,,21.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
30,Eastern Asia,2022,"Seats held by women in national parliament, as of February (%)",,,21.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
30,Eastern Asia,2023,"Seats held by women in national parliament, as of February (%)",,,21.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
30,Eastern Asia,2024,"Seats held by women in national parliament, as of February (%)",,,22.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
35,South-eastern Asia,2000,"Seats held by women in national parliament, as of February (%)",,,12.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
35,South-eastern Asia,2005,"Seats held by women in national parliament, as of February (%)",,,15.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
35,South-eastern Asia,2010,"Seats held by women in national parliament, as of February (%)",,,19.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
35,South-eastern Asia,2015,"Seats held by women in national parliament, as of February (%)",,,17.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
35,South-eastern Asia,2020,"Seats held by women in national parliament, as of February (%)",,,20.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
35,South-eastern Asia,2021,"Seats held by women in national parliament, as of February (%)",,,21.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
35,South-eastern Asia,2022,"Seats held by women in national parliament, as of February (%)",,,21.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
35,South-eastern Asia,2023,"Seats held by women in national parliament, as of February (%)",,,23.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
